frame,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_hip_x,r_hip_y,r_hip_z,l_hip_x,l_hip_y,l_hip_z
1768,0.34622374176979065,0.4286876618862152,-0.2874061167240143,0.4713933765888214,0.42972350120544434,-0.36530935764312744,0.5546103715896606,0.39287814497947693,-0.32499000430107117,0.38936734199523926,0.43653082847595215,0.24062713980674744,0.507269024848938,0.4271396994590759,0.3218143582344055,0.5698825120925903,0.38083693385124207,0.19817864894866943,0.3948204815387726,0.585099995136261,-0.16633093357086182,0.41197654604911804,0.5817111134529114,0.1665607988834381
1769,0.3504379987716675,0.4273773729801178,-0.28858208656311035,0.4720267951488495,0.41452550888061523,-0.39451682567596436,0.555951714515686,0.3518778681755066,-0.32529810070991516,0.3939456641674042,0.4365242123603821,0.2749246060848236,0.5060535669326782,0.4293178617954254,0.37861892580986023,0.561737060546875,0.4003683924674988,0.28182050585746765,0.3988098204135895,0.5848001837730408,-0.1685067117214203,0.41568100452423096,0.58167964220047,0.1687697470188141
1770,0.35116031765937805,0.42738255858421326,-0.29134804010391235,0.4740501046180725,0.4217449128627777,-0.3921124339103699,0.5536970496177673,0.36454999446868896,-0.31113895773887634,0.3867214322090149,0.4306184649467468,0.2743697762489319,0.5055204033851624,0.4168892800807953,0.3730655610561371,0.5656290054321289,0.3620816469192505,0.26930320262908936,0.40672242641448975,0.5845062732696533,-0.17806652188301086,0.414817214012146,0.581325888633728,0.17835411429405212
1771,0.35934168100357056,0.4280878007411957,-0.2894628047943115,0.4816184937953949,0.4264419972896576,-0.38936635851860046,0.5519415736198425,0.37713488936424255,-0.3010936379432678,0.3713102638721466,0.4303413927555084,0.27074047923088074,0.49176695942878723,0.41230711340904236,0.3665708005428314,0.5658767819404602,0.35984963178634644,0.2605902850627899,0.41762033104896545,0.5875059962272644,-0.18457789719104767,0.40462353825569153,0.5848757028579712,0.1847468763589859
1772,0.3581600487232208,0.428636372089386,-0.2880793511867523,0.4745684266090393,0.4354475438594818,-0.3899533450603485,0.5412278175354004,0.4197673797607422,-0.3043685555458069,0.37583863735198975,0.42921191453933716,0.2765692174434662,0.5018811225891113,0.40554672479629517,0.35038548707962036,0.5736202597618103,0.35281822085380554,0.19598430395126343,0.4160558879375458,0.5870503783226013,-0.1873420774936676,0.4042486548423767,0.5845938324928284,0.18757455050945282
1773,0.3570917844772339,0.4299755096435547,-0.2948296070098877,0.4726036787033081,0.4340658187866211,-0.39438140392303467,0.5422238111495972,0.4043813645839691,-0.3097586929798126,0.3773055672645569,0.4299375116825104,0.2788558900356293,0.5016788244247437,0.4078242778778076,0.3684704303741455,0.5739328265190125,0.35734498500823975,0.2345823347568512,0.41494297981262207,0.5896458625793457,-0.18974463641643524,0.40484991669654846,0.5879124402999878,0.19000710546970367
1774,0.3560560941696167,0.43276429176330566,-0.29434531927108765,0.4715656340122223,0.42892590165138245,-0.4035913646221161,0.5526295900344849,0.3663201928138733,-0.3252713084220886,0.3791176676750183,0.4325428009033203,0.27398258447647095,0.5008030533790588,0.4059634804725647,0.33180469274520874,0.5720651745796204,0.35471174120903015,0.18704047799110413,0.4136825501918793,0.5933019518852234,-0.18695762753486633,0.4018210172653198,0.5943330526351929,0.18721424043178558
1775,0.3475036919116974,0.43369483947753906,-0.2917799949645996,0.4341720640659332,0.44954586029052734,-0.42150017619132996,0.5326148867607117,0.40971916913986206,-0.3926928639411926,0.3837498426437378,0.43227896094322205,0.2756005823612213,0.4988204538822174,0.40924015641212463,0.3246459662914276,0.5715246796607971,0.3471948504447937,0.15245771408081055,0.3991508185863495,0.5929993391036987,-0.1870552897453308,0.4020143747329712,0.5924885272979736,0.1873624324798584
1776,0.3414890170097351,0.433652400970459,-0.28024616837501526,0.4175686836242676,0.4530905783176422,-0.450611412525177,0.5233529806137085,0.41148728132247925,-0.44721394777297974,0.3962503969669342,0.4310104250907898,0.30506014823913574,0.5030253529548645,0.41015180945396423,0.34855809807777405,0.5705342292785645,0.34460288286209106,0.17352868616580963,0.39763057231903076,0.5916837453842163,-0.19162744283676147,0.40570151805877686,0.5917531251907349,0.19194874167442322
1777,0.33812421560287476,0.4333347678184509,-0.28827548027038574,0.4262368977069855,0.4530472159385681,-0.4793093800544739,0.5255663990974426,0.404676616191864,-0.49481040239334106,0.39929211139678955,0.43104061484336853,0.309431791305542,0.5043103098869324,0.4178478717803955,0.3841743767261505,0.568084180355072,0.3519100844860077,0.24471549689769745,0.3992932140827179,0.590224027633667,-0.19263248145580292,0.41168978810310364,0.5910638570785522,0.1930324286222458
1778,0.3383306860923767,0.4328804612159729,-0.28675344586372375,0.4305637776851654,0.4500470757484436,-0.43044641613960266,0.5258469581604004,0.3938167691230774,-0.37683427333831787,0.39866986870765686,0.4310450553894043,0.3067217767238617,0.5086039304733276,0.4077799320220947,0.38384777307510376,0.5687018632888794,0.35163846611976624,0.24165117740631104,0.3977786600589752,0.590028703212738,-0.19128131866455078,0.41181325912475586,0.5904163718223572,0.19165334105491638
1779,0.3369947075843811,0.43087512254714966,-0.29327505826950073,0.42603814601898193,0.4469172954559326,-0.4460603594779968,0.5272361040115356,0.3833909034729004,-0.4315928518772125,0.41270750761032104,0.43098965287208557,0.3003979027271271,0.5302850008010864,0.4212048649787903,0.39246028661727905,0.5839430689811707,0.37816321849823,0.28294456005096436,0.3960672914981842,0.5894414186477661,-0.18697543442249298,0.4286685585975647,0.5880404710769653,0.1874147653579712
1780,0.3330908715724945,0.4292798936367035,-0.29251256585121155,0.41753527522087097,0.44448739290237427,-0.47589612007141113,0.5251655578613281,0.3802882134914398,-0.4819193184375763,0.4205206036567688,0.4309123456478119,0.29991817474365234,0.5279231667518616,0.432870090007782,0.34149348735809326,0.5823007225990295,0.383700966835022,0.17580774426460266,0.3918035626411438,0.5893824100494385,-0.18552358448505402,0.43812692165374756,0.5862740874290466,0.18601247668266296
1781,0.3325657248497009,0.42896977066993713,-0.2926175892353058,0.41877084970474243,0.44251880049705505,-0.5213066935539246,0.52613365650177,0.36999279260635376,-0.5574967861175537,0.43054717779159546,0.42980051040649414,0.2514875531196594,0.528083860874176,0.43208885192871094,0.26540109515190125,0.5811758637428284,0.3828403353691101,0.08032086491584778,0.39022985100746155,0.5891954302787781,-0.17558664083480835,0.4460200071334839,0.5829628705978394,0.1760256290435791
